timestamp,src_ip,dst_ip,query
2024-11-26 12:10:59.867198,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 12:10:59.867272,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 12:10:59.867661,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 12:10:59.867710,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 12:10:59.914522,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 12:10:59.914603,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 12:20:06.258526,10.11.26.183,10.11.26.3,v10.events.data.microsoft.com
2024-11-26 12:20:06.273953,10.11.26.3,10.11.26.183,v10.events.data.microsoft.com
2024-11-26 12:20:48.347107,10.11.26.183,10.11.26.3,dns.msftncsi.com
2024-11-26 12:20:48.372475,10.11.26.3,10.11.26.183,dns.msftncsi.com
2024-11-26 12:20:59.901594,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 12:20:59.901594,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 12:20:59.902062,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 12:20:59.902091,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 12:20:59.902413,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 12:20:59.902433,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 12:20:59.951992,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 12:20:59.952027,10.11.26.3,10.11.26.183,wpad.mshome.net
